context,question,A,B,C,D,result
"Viêm gan B lây như_thế_nào ? Bệnh lây_truyền qua tiếp_xúc với máu hoặc các chất dịch khác của cơ_thể người bị nhiễm_bệnh . Virus viêm gan B rất dễ lây . Khả_năng lây_nhiễm cao hơn HIV 100 lần . Viêm gan B lây qua đường nào ? Có 3 đường lây của viêm gan B , gồm : đường_máu , từ mẹ sang con , đường tình dụ . Đường lây viêm gan B từ mẹ sang con : Đường lây_truyền HBV rất đặc_biệt , phần_lớn xảy ra trong giai_đoạn chu sinh hoặc những tháng đầu sau sinh , không lây qua nhau thai , đây là một_cách_thức lây_nhiễm phổ_biến và quan_trọng nhất . Mức_độ lây_nhiễm tuỳ_thuộc vào nồng_độ virus viêm gan B ( HBV DNA ) và tình_trạng HBeAg của mẹ vào 3 tháng cuối thai kỳ . Nếu mẹ có nồng_độ HBV cao và HBeAg ( + ) thì khả_năng lây_truyền cho con càng cao . Nếu mẹ có HBsAg thì tỷ_lệ truyền cho con khoảng 20 . Nếu mẹ có HBcAg thì tỷ_lệ truyền cho con là khoảng 90 % , nếu mẹ có HBeAg thì con dễ bị viêm gan mãn_tính . Tuy_nhiên điều này hoàn_toàn có_thể được ngăn_chặn , nếu tiêm vacxin cho trẻ trong vòng 12h sau khi sinh . Virus viêm gan B có trong sữa mẹ với nồng_độ rất thấp do_đó lây_truyền chủ_yếu là do trẻ bú cắn vào vú mẹ gây trầy_xước , chảy_máu dẫn đến lây_nhiễm . Viêm gan B lây qua đường_máu : Nếu da hoặc niêm_mạc của chúng_ta bị xây xước không toàn_vẹn mà tiếp_xúc với máu của người bị nhiễm HBV thì nguy_cơ nhiễm_bệnh sẽ rất cao . HBV cũng được tìm thấy trong dịch cơ_thể khác như dịch_âm đạo , tinh_dịch , sữa mẹ , nước_bọt , mồ_hôi , nước_tiểu , phân , dịch mật vì_vậy khi da hoặc niêm_mạc bị tổn_thương mà tiếp_xúc với các dịch này thì cũng có_thể bị lây_nhiễm HBV nhưng với tỷ_lệ rất thấp . Tái_sử_dụng kim và ống_tiêm : Việc lây_truyền bệnh cũng có_thể xảy ra thông_qua việc tái_sử_dụng kim và ống_tiêm trong môi_trường chăm_sóc sức_khoẻ hoặc giữa những người tiêm_chích ma_tuý . Nhiễm máu nhiễm_bệnh : Nhiễm virus viêm gan B xảy ra trong quá_trình y_tế , phẫu_thuật và nha_khoa , thông_qua hình xăm hoặc thông_qua việc sử_dụng dao_cạo và các vật tương_tự bị nhiễm máu nhiễm_bệnh . Viêm gan B lây qua đường tình_dục : Khi quan_hệ tình_dục không an_toàn ( không sử_dụng bao_cao_su hoặc sử_dụng chung dụng_cụ tình_dục ) với người bị viêm gan siêu_vi B , bạn cũng sẽ có khả_năng bị nhiễm HBV . Virus có trong dịch tiết của người nhiễm sẽ thâm_nhập vào cơ_thể bạn qua các vết xước nhỏ và sau đó , xâm_nhập vào máu gây nhiễm HBV . Hình_thức lây_truyền qua đường tình_dục đặc_biệt hay gặp ở những người đàn_ông không được tiêm_chủng có quan_hệ tình_dục đồng giới có nhiều bạn tình hoặc tiếp_xúc với gái mại_dâm . nan . nan . nan . nan .",Viêm gan B là mối đe_doạ sức_khoẻ toàn_cầu và là bệnh nhiễm_trùng gan phổ_biến nhất thế_giới . Con đường nào dưới đây có_thể là đường lây của viêm gan B ?,Ăn_uống chung với người_bệnh .,Đường_máu .,Từ mẹ sang con .,Quan_hệ tình_dục không an_toàn .,"B , C , D."
"Vô kinh là gì ? Vô kinh là hiện_tượng không có kinh_nguyệt ở người phụ_nữ liên_tục hoặc vĩnh_viễn do những rối_loạn_chức_năng của vùng dưới đồi , tuyến_yên , buồng_trứng , tử_cung và âm_đạo . Vô kinh thường được phân làm 2 loại : vô kinh nguyên_phát và vô kinh thứ_phát . Vô kinh nguyên_phát là người phụ_nữ đến khi 15 tuổi vẫn không có kinh_nguyệt . Vô kinh thứ_phát được định_nghĩa là hiện_tượng không có kinh_nguyệt từ 3 chu_kỳ hoặc từ 6 tháng trở lên trên nữ_giới đã có kinh_nguyệt trước đó . Vô kinh kéo_dài được xem là dấu_hiệu nguy_hiểm cho một rối_loạn nào đó trong cơ_thể . nan . nan . nan . nan .","Ở lứa tuổi vị_thành_niên , có_thể gặp những bất_thường về kinh_nguyệt , trong đó có hiện_tượng vô kinh . Khi mắc vô kinh sẽ gây ra những lo_lắng trong giai_đoạn dậy_thì , và có_thể dẫn đến vô_sinh sau_này . Những trường_hợp nào sau đây có_thể nghi_ngờ mắc vô kinh ?",Đến 15 tuổi vẫn không có kinh_nguyệt .,Không có kinh_nguyệt từ 3 chu_kỳ trở lên .,Vòng kinh dài hơn 35 ngày .,Máu kinh_nguyệt ra ít với thời_gian ngắn dưới hai ngày .,"A , B."
"Một_số yếu_tố làm tăng nguy_cơ mắc trào ngược dạ_dày thực_quản : Béo phì . Đè ép phần trên của dạ_dày lên thành của cơ_hoành . Mang thai . Rối_loạn mô liên_kết , chẳng_hạn như xơ_cứng bì . Thường_xuyên bị đói bụng . Các yếu_tố có_thể làm trầm_trọng thêm trào ngược dạ_dày thực_quản bao_gồm : Hút thuốc_lá . Ăn nhiều quá no hoặc ăn khuya . Ăn một_số thực_phẩm như thực_phẩm nhiều chất_béo hoặc chiên , rán nhiều dầu_mỡ . Uống một_số đồ uống như rượu hoặc cà_phê . Sử_dụng một_số loại thuốc như aspirin . nan . nan . nan . nan .","Trào ngược dạ_dày thực_phẩm thường do nhiều yếu_tố gây ra , chủ_yếu là sự rối_loạn ở dạ_dày thực_quản . Ngoài_ra còn có các yếu_tố có_thể làm bệnh thêm trầm_trọng , đâu là loại thuốc có_thể gây trầm_trọng cho căn_bệnh ?",Aspirin .,Rượu .,Cà_phê .,Thuốc_lá .,"A , B."
"Chị_em phụ_nữ ở mọi lứa tuổi đều có nguy_cơ mắc bệnh viêm buồng_trứng . Chính vì_vậy , cần tìm_hiểu chi_tiết về bệnh để có biện_pháp phòng_ngừa . Bệnh viêm buồng_trứng gây ảnh_hưởng rất lớn đến sức_khoẻ của phụ_nữ , giảm sức đề_kháng của cơ_thể và tăng nguy_cơ hiếm_muộn , vô_sinh . nan . nan . nan . nan .","Viêm buồng_trứng chính là hiện_tượng buồng_trứng bị viêm_nhiễm mà nguyên_nhân gây viêm buồng_trứng chủ_yếu do các loại vi_trùng , nấm , ký_sinh_trùng . Lứa tuổi nào có_thể mắc phải bệnh này ?",Vị_thành_niên .,Thiếu_niên .,Trung_niên .,Mọi lứa tuổi đều có nguy_cơ mắc bệnh viêm buồng_trứng .,D.
"Polyp thực_quản thường được phát_hiện một_cách tình_cờ khi bệnh_nhân đi khám sức_khoẻ định_kỳ , vì ban_đầu bệnh thường không có biểu_hiện gì . Bệnh_nhân cũng có_thể đi khám vì triệu_chứng nuốt đau , nuốt khó , tức ngực , buồn_nôn , nôn , người mệt_mỏi , chán ăn . Các triệu_chứng này tuỳ vào kích_thước và tính_chất của khối_u thực_quản . nan . nan . nan . nan .","Trong một lần đi khám sức_khoẻ định_kỳ ở trung_tâm y_tế , anh Khoa được bác_sĩ chẩn_đoán mắc u thực_quản loại polyp thực_quản lành_tính . Ban_đầu bệnh thường không có biểu_hiện gì nên polyp thực_quản thường được phát_hiện tình_cờ khi bệnh_nhân đi khám sức_khoẻ định_kỳ . Nhưng bệnh_nhân cũng có_thể có những triệu_chứng như nuốt đau , tức ngực , buồn_nôn , chán ăn . Vậy các triệu_chứng này tuỳ_thuộc vào đặc_điểm gì của khối_u thực_quản ?",Tuỳ vào loại khối_u và tính_chất của khối_u thực_quản .,Tuỳ vào kích_thước và tính_chất của khối_u thực_quản .,Tuỳ vào vị_trí và tính_chất của khối_u thực_quản .,Tuỳ vào loại khối_u và vị_trí của khối_u thực_quản .,B.
"Để chẩn_đoán bệnh ho_gà , có_thể kể đến một_số biện_pháp sau : Trước_hết cần chẩn_đoán để phân_biệt với một_số bệnh tương_tự như bệnh phó ho_gà – một bệnh gần giống bệnh ho_gà nhưng nhẹ và hiếm gặp hơn . bệnh viêm VA , viêm amidan mãn_tính . bệnh viêm phế_quản , viêm phổi do bội_nhiễm của bệnh ho_gà . Xét_nghiệm thông_qua loại mẫu bệnh_phẩm : bằng phương_pháp phân_lập vi_khuẩn trên môi_trường nuôi cây chuyên_dụng và phản_ứng kháng_thể huỳnh_quang trực_tiếp . nan . nan . nan . nan .","Bệnh ho_gà với các triệu_chứng ho , sốt , hắt_hơi , sổ_mũi và đây cũng là triệu_chứng điển_hình của những bệnh_lý về đường hô_hấp khác . Hỏi những bệnh đó là bệnh gì ?",Viêm_VA .,Viêm amidan mãn_tính .,Bệnh phó ho_gà .,Bệnh viêm phế_quản .,"A , B , C , D."
"Thăm_khám lâm_sàng cơ_bản như nhìn sờ kết_hợp hỏi bệnh để phát_hiện ra các triệu_chứng bất_thường như sưng , nóng , đỏ , đau tại tinh_hoàn là sơ_bộ có_thể chẩn_đoán viêm tinh_hoàn . Tuy_nhiên , gần đây nhờ có siêu_âm tinh_hoàn mà viêm tinh_hoàn có_thể được chẩn_đoán một_cách chắc_chắn , cụ_thể và rõ_ràng hơn . Siêu_âm tinh_hoàn có_thể cho biết kích_thước tinh_hoàn bị viêm , mức_độ viêm cấp hay mạn_tính , có tràn dịch màng tinh_hoàn , có viêm mào tinh hay không . nan . nan . nan . nan .","Anh Quyết cảm_thấy sưng nóng , đau vùng tinh_hoàn và không dám đi khám . Anh đến hỏi người đồng_nghiệp trước_đây đã từng có triệu_chứng giống anh để tham_khảo về việc thăm_khám và số tiền anh phải bỏ ra cho việc này . Bác_sĩ đã thăm_khám như_thế_nào cho anh đồng_nghiệp để chẩn_đoán viêm tinh_hoàn ?",Thăm_khám lâm_sàng cơ_bản như nhìn sờ kết_hợp hỏi bệnh để phát_hiện ra các triệu_chứng bất_thường .,CT-Scan vùng chậu .,Xét_nghiệm máu tìm các bệnh nội_khoa khác .,Siêu_âm tinh_hoàn .,"A , D."
"Để chẩn_đoán chính_xác bệnh viêm tuỵ cấp ở trẻ_em , cần dựa vào việc thăm_khám lâm_sàng và các kết_quả cận lâm_sàng : Chẩn_đoán lâm_sàng bệnh viêm tuỵ cấp ở trẻ_em : Ấn đau vùng thượng_vị , lan ra sau lưng . Khám thấy nhu_động ruột giảm hoặc liệt ruột . Vàng da ở viêm tuỵ tự_phát hay viêm tuỵ do sỏi . Đối_với các bệnh_nhân_thể bệnh nặng : Bệnh_nhân có biểu_hiện vẻ mặt nhiễm_trùng : mệt_mỏi , môi khô , lưỡi bẩn . Bệnh_nhân có dấu mất nước : khát nhiều , mắt trũng , môi khô . Bệnh_nhân có dấu_hiệu sốc giảm thể_tích : tay_chân lạnh , huyết_áp_thấp , mạch nhanh . Suy hô_hấp như mệt_mỏi , khó thở , SpO2 giảm . Ấn đau vùng thượng_vị , lan ra sau lưng . khám thấy nhu_động ruột giảm hoặc liệt ruột . Vàng da ở viêm tuỵ tự_phát hay viêm tuỵ do sỏi . Da xanh tím quanh rốn hoặc vùng hông . Tràn dịch màng phổi . Các xét_nghiệm cận lâm_sàng chẩn_đoán viêm tuỵ cấp ở trẻ : Công_thức máu : bạch_cầu có_thể tăng , hematocrit có_thể giảm đối_với trường_hợp viêm tuỵ xuất_huyết . Amylase / máu tăng gấp 3 lần giá_trị thường , tăng tối_đa và tồn_tại trong 3-5 ngày . Amylase / nước_tiểu tăng , có khí không quá 3 lần so với giá_trị thường và tồn_tại hơn 2 tuần . Lipase / máu tăng gấp 3 lần giá_trị thường : chỉ_số này có độ đặc_hiệu cao hơn Amylase / máu . Làm Ion đồ , khí máu , đường_huyết , ure / máu , creatinin / máu , triglyceride , LDH để kiểm_tra đối_với các thể bệnh nặng . Cấy máu được chỉ_định nếu có nhiễm_trùng hay dấu_hiệu hoại_tử tuỵ . Siêu_âm bụng để chẩn_đoán và tiên_lượng bệnh . X-quang bụng không chuẩn_bị để phân_biệt với bệnh_lý tắc ruột , thủng ruột . nan . nan . nan . nan .","Viêm tuỵ cấp là tình_trạng viêm của tuyến tuỵ dẫn đến các tế_bào nang tuyến bị tổn_thương do sự tiêu_huỷ của các men tuỵ . Bệnh thường liên_quan đến nhiều bệnh_lý và có nhiều diễn_biến khác nhau . Để chuẩn đoán chính_xác bệnh thì cần kết_hợp việc thăm_khám khá lâm_sàng và các kết_quả cận lâm sàn . Trong đó , các xét_nghiệm cận lâm_sàng không dùng tia X-quang mà cần phải siêu_âm bụng để chuẩn đoán . Nguyên_nhân của việc này là do đâu ?",Tia_X - quang gây nguy_hiểm cho người_bệnh là trẻ_em .,"Chụp X-quang bụng không chuẩn_bị để phân_biệt với bệnh_lý tắc ruột , thủng ruột .",Tác_động của tia X - quang khiến cho biến_chứng bệnh trở nặng .,Tất_cả nguyên_nhân trên .,B.
"Trước khi điều_trị uốn_ván , cần làm sạch các vết_thương để ngăn_ngừa nhiễm_trùng . Vết_thương phải được cắt lọc các tổ_chức bị nhiễm bẩn hoặc hoại_tử và Phải duy_trì tình_trạng thoáng_khí của vết_thương . Miễn_dịch uốn_ván ( TIG ) được tiêm càng sớm càng tốt , ngay cả khi đã được tiêm phòng vắc_xin uốn_ván trước_đây . Tiêm bắp TIG với liều từ 3000 - 6000 IU . Nếu không có TIG , có_thể thay_thế bằng tiêm tĩnh_mạch một liều SAT . Tuy_nhiên liệu_pháp này chỉ có tác_dụng ngắn và không_thể thay_thế các phương_pháp khác . Các chuyên_gia Y_tế nói rằng cách này có_thể an_toàn đối_với phụ_nữ mang thai và đang cho con bú . Các bác_sĩ có_thể chỉ_định các nhóm kháng_sinh penicillin hoặc metronidazole từ 7-14 ngày với liều cao , những kháng_sinh này ngăn_chặn vi_khuẩn độc_hại gây co thắt cơ và cứng khớp . Bệnh_nhân bị dị_ứng với penicillin hoặc metronidazole có_thể thay_thế bằng tetracycline . Có_thể sử_dụng thuốc giảm đau , thuốc giãn cơ kết_hợp với mở khí_quản hoặc đặt ống nội khí_quản , hỗ_trợ hô_hấp bằng thở máy để cấp_cứu bệnh_nhân . Đồng_thời với điều_trị , phải gây miễn_dịch chủ_động bằng vắc_xin uốn_ván cho bệnh_nhân . nan . nan . nan . nan .","Trong một lần vô_tình đạp phải đinh khi làm_việc ở công_trường xây_dựng , ông Vinh đi khám bệnh ở trung_tâm y_tế và được bác_sĩ chẩn_đoán mắc uốn_ván . Bác_sĩ cũng cung_cấp cho ông Vinh thông_tin về các biện_pháp điều_trị uốn_ván . Vậy trong các biện_pháp dưới đây , biện_pháp nào không đúng khi nói về biện_pháp điều_trị uốn_ván ?","Miễn_dịch uốn_ván ( TIG ) được tiêm càng sớm càng tốt , ngay cả khi đã được tiêm phòng vắc_xin uốn_ván trước_đây .",Tiêm bắp TIG với liều từ 4000 - 6000 IU .,Bệnh_nhân bị dị_ứng với penicillin hoặc metronidezole có_thể thay_thế bằng tetracycline .,"Các bác_sĩ có_thể chỉ_định các nhóm kháng_sinh penicillin hoặc metronidezole từ 7-14 ngày với liều cao , những kháng_sinh này ngăn_chặn vi_khuẩn độc_hại gây co thắt cơ và cứng khớp .","B , C , D."
"Có nhiều biện_pháp để chẩn_đoán xuất_huyết võng_mạc , bao_gồm : Soi đáy mắt : đây là biện_pháp được sử_dụng phổ_biến nhất để chẩn_đoán xuất_huyết võng_mạc . Chụp mạch huỳnh_quang : để chụp mạch huỳnh_quang cần sử_dụng thuốc_nhuộm huỳnh_quang tiêm vào máu của bệnh_nhân trước đó để bác_sĩ nhãn_khoa có_thể nhìn rõ hơn và kiểm_tra các mạch_máu trong võng_mạc . Kiểm_tra mắt : kiểm_tra chức_năng thị_lực của mắt như bệnh_nhân có nhìn rõ không , trong tầm nhìn thấy có dấu_hiệu ruồi bay hay không . nan . nan . nan . nan .","Có nhiều biện_pháp để chẩn_đoán xuất_huyết võng_mạc , bao_gồm : soi đáy mắt , chụp mạch huỳnh_quang , kiểm_tra mắt , . Chụp mạch huỳnh_quang cần sử_dụng thuốc_nhuộm huỳnh_quang tiêm vào máu của bệnh_nhân trước đó để làm gì ?",Kiểm_tra chức_năng thị_lực của mắt .,Bác_sĩ nhãn_khoa có_thể nhìn rõ hơn .,Kiểm_tra các mạch_máu trong võng_mạc .,Kiểm_tra tầm nhìn .,"B , C."
